 BLDW   55.1909 -162.7877 GD 15 15  3.71  0.74    4
 BPPC   56.5843 -158.8258 GD 36 36  3.81  0.89   23
 OHAK   57.2225 -153.2875 GD 40 40  4.30  2.07   26
 Q18K   58.6484 -155.0086 GD 67 67  5.19  2.38   42
 AUSB   59.3330 -153.4284 GD 75 75  5.51  2.25   43
 M16K   61.0224 -158.9593 GD 16 16  5.45  2.02   57
 SPWE   61.2735 -152.5590 GD 71 71  6.67  2.01   60
 CAPN   60.7683 -151.1539 GD 75 75  6.69  2.03   61
  GLI   60.8792 -147.0959 GD 60 60  5.91  2.04   63
  BMR   60.9677 -144.6051 GD 55 55  5.66  2.14   64
  CRQ   60.7523 -143.0926 GD 53 53  5.03  1.63   65
 LOGN   60.8240 -141.0048 GD 44 44  4.71  1.28   66
 BRWY   61.3704 -139.0338 GD 33 33  4.46  0.98   67
 WAT7   62.8331 -148.8476 GD 68 68  7.03  2.10   79
  DHY   63.0753 -147.3759 GD 57 57  7.17  2.15   80
  PAX   62.9699 -145.4699 GD 52 52  7.10  2.21   81
 L26K   63.0254 -143.3478 GD 45 45  6.70  2.34   82
 GCSA   64.7461 -156.8792 GD 16 16  7.49  2.62   92
 H20K   65.4924 -154.8808 GD 23 23  8.52  3.35   93
  MLY   65.0304 -150.7442 GD 37 37  9.05  3.28   95
 I23K   65.1479 -149.3603 GD 35 35  9.14  3.29   96
 POKR   65.1171 -147.4335 GD 37 37  8.95  3.22   97
 J25K   64.6130 -145.3697 GD 35 35  7.98  2.21   98
 I26K   65.3064 -143.1541 GD 22 22  7.95  2.02   99
 E19K   67.4572 -157.2316 GD 14 14  9.10  2.43  109
 F21K   67.2221 -153.4830 GD 21 21 10.85  3.09  111
 PS05   66.8133 -150.6646 GD 24 24 10.18  3.39  112
 G24K   66.7004 -147.4754 GD 25 25 10.06  3.45  114
 C21K   69.1565 -154.7833 GD 14 14  9.68  1.78  127
 D22K   68.8799 -152.6821 GD 18 18 11.32  3.34  128
